Material;Packing Type;Numerator;Denom.;Length;Length;Width;Width;Height;Height;Volume;Volume;Gross weight;Gross weight;net weight;net weight
W302153000;SU;10;1;182;MM;100;MM;153;MM;2,785;CDM;344;G;141;G
W302153100;CU;1;1;36;MM;96;MM;114;MM;0,394;CDM;55;G;32,9;G
W302153100;DU;100;1;512;MM;380;MM;250;MM;48,64;CDM;6 647,00;G;3 290,00;G
W302153100;PAL;2 400;1;1 200,00;MM;800;MM;1 644,00;MM;1 578,24;CDM;183 528,00;G;78 960,00;G
W302153100;PC;1;7;0;;0;;0;;0;CDM;0;;32,9;G
W302153100;PLR;400;1;1 200,00;MM;800;MM;250;MM;240;CDM;26 588,00;G;13 160,00;G
W302153100;SU;10;1;371;MM;99;MM;118;MM;4,334;CDM;637;G;329;G
W302153200;CU;1;1;40;MM;91;MM;202;MM;0,735;CDM;65;G;25,9;G
W302153200;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;4 538,00;G;1 295,00;G
W302153200;PAL;1 050;1;1 200,00;MM;800;MM;1 425,00;MM;1 368,00;CDM;119 298,00;G;27 195,00;G
W302153200;PC;1;1;40;MM;91;MM;202;MM;0,735;CDM;0;G;25,9;G
W302153200;PLR;350;1;1 200,00;MM;800;MM;427;MM;409,92;CDM;31 766,00;G;9 065,00;G
W302153200;SU;5;1;210;MM;95;MM;206;MM;4,11;CDM;398;G;129,5;G
W302153300;CU;1;1;32;MM;96;MM;112;MM;0,344;CDM;28;G;12,69;G
W302153300;DU;100;1;525;MM;200;MM;320;MM;33,6;CDM;3 870,00;G;1 269,00;G
W302153300;PAL;4 000;1;1 200,00;MM;800;MM;1 744,00;MM;1 674,24;CDM;178 800,00;G;50 760,00;G
W302153300;PC;1;3;0;;0;;0;;0;;0;;12,69;G
W302153300;PLR;800;1;1 050,00;MM;800;MM;320;MM;307,2;CDM;30 960,00;G;10 152,00;G
W302153300;PLU;4 000;1;1 200,00;MM;1 000,00;MM;1 430,00;MM;1,716;M3;179 800,00;G;50 760,00;G
W302156900;CU;1;1;30;MM;145;MM;235;MM;1,022;CDM;128;G;124,8;G
W302156900;PAL;960;1;1 200,00;MM;800;MM;1 644,00;MM;1 578,24;CDM;160 320,00;G;119 808,00;G
W302156900;PC;1;12;0;MM;0;MM;0;MM;0;CDM;0;;124,8;G
W302156900;PLR;160;1;1 200,00;MM;800;MM;250;MM;240;CDM;22 720,00;G;19 968,00;G
W302156900;SU;20;1;385;MM;290;MM;250;MM;27,913;CDM;2 840,00;G;2 496,00;G
W302160400;CU;1;1;50,8;MM;50,8;MM;190,5;MM;0,492;CDM;191;G;169,92;G
W302160400;PAL;1 728;1;1 200,00;MM;800;MM;1 494,00;MM;1 272,96;CDM;402 864,00;G;293 621,76;G
W302160400;PC;1;1;50,8;MM;50,8;MM;190,5;MM;0,492;CDM;191;G;169,92;G
W302160400;PLR;288;1;1 095,00;MM;760;MM;220;MM;187,938;CDM;63 144,00;G;48 936,96;G
W302160400;PLU;1 440;1;1 200,00;MM;1 000,00;MM;1 030,00;MM;1 125,60;CDM;340 720,00;G;244 684,80;G
W302160400;PRU;360;1;1 095,00;MM;920;MM;220;MM;180,878;CDM;78 930,00;G;61 171,20;G
W302160400;SU;12;1;190;MM;175;MM;220;MM;7,74;CDM;2 631,00;G;2 039,04;G
W302160600;CU;1;1;44,45;MM;44,45;MM;120,65;MM;0,238;CDM;155;G;113,28;G
W302160600;PAL;1 920;1;1 200,00;MM;800;MM;794;MM;719,04;CDM;504 480,00;G;217 497,60;G
W302160600;PC;1;1;44,45;MM;44,45;MM;120,65;MM;0,238;CDM;155;G;113,28;G
W302160600;PLR;384;1;1 200,00;MM;780;MM;130;MM;108,252;CDM;96 096,00;G;43 499,52;G
W302160600;PLU;2 400;1;1 200,00;MM;1 000,00;MM;800;MM;906;CDM;607 400,00;G;271 872,00;G
W302160600;PRU;480;1;1 200,00;MM;975;MM;130;MM;129,422;CDM;116 480,00;G;54 374,40;G
W302160600;SU;12;1;195;MM;150;MM;130;MM;0,238;CDM;2 912,00;G;1 359,36;G
W302161000;CU;1;1;33,27;MM;33,27;MM;103,12;MM;0,114;CDM;86;G;27,84;G
W302161000;DU;12;1;155;MM;125;MM;120;MM;1,948;CDM;1 080,00;G;334,08;G
W302161000;PAL;5 940;1;1 200,00;MM;800;MM;1 464,00;MM;1 299,84;CDM;558 600,00;G;165 369,60;G
W302161000;PC;1;1;33,27;MM;33,27;MM;103,12;MM;0,114;CDM;86;G;27,84;G
W302161000;PLR;540;1;1 125,00;MM;775;MM;120;MM;92,219;CDM;48 600,00;G;15 033,60;G
W302161000;PLU;5 040;1;1 200,00;MM;1 000,00;MM;990;MM;1 104,00;CDM;478 600,00;G;140 313,60;G
W302161000;PRU;720;1;1 180,00;MM;1 000,00;MM;120;MM;116,886;CDM;64 800,00;G;20 044,80;G
W302161000;SU;3;1;110;MM;36;MM;104;MM;0,412;CDM;258;G;83,52;G
W302161100;CU;1;1;51,56;MM;51,56;MM;130,81;MM;0,348;CDM;209;G;169,92;G
W302161100;PAL;2 016;1;1 200,00;MM;800;MM;1 194,00;MM;1 058,88;CDM;502 114,00;G;342 558,72;G
W302161100;PC;1;1;51,56;MM;51,56;MM;130,81;MM;0,348;CDM;209;G;169,92;G
W302161100;PLR;288;1;1 155,00;MM;165;MM;150;MM;123,519;CDM;68 302,00;G;48 936,96;G
W302161100;PLU;2 604;1;1 200,00;MM;1 000,00;MM;1 200,00;MM;1 330,80;CDM;595 059,00;G;442 471,68;G
W302161100;PRU;372;1;1 155,00;MM;990;MM;150;MM;148,377;CDM;81 437,00;G;63 210,24;G
W302161100;SU;12;1;220;MM;165;MM;150;MM;5,445;CDM;2 627,00;G;2 039,04;G
W302161300;CU;1;1;76,2;MM;35,05;MM;166,64;MM;0,445;CDM;159;G;141,12;G
W302161300;PAL;2 160;1;1 200,00;MM;800;MM;1 104,00;MM;1 002,24;CDM;417 450,00;G;304 819,20;G
W302161300;PC;1;1;76,2;MM;35,05;MM;166,64;MM;0,445;CDM;159;G;141,12;G
W302161300;PLR;360;1;1 200,00;MM;800;MM;160;MM;140,954;CDM;65 575,00;G;50 803,20;G
W302161300;PLU;2 592;1;1 200,00;MM;1 000,00;MM;1 110,00;MM;1 260,00;CDM;489 400,00;G;365 783,04;G
W302161300;PRU;432;1;1 200,00;MM;960;MM;160;MM;164,851;CDM;77 400,00;G;60 963,84;G
W302161300;SU;6;1;160;MM;100;MM;160;MM;2,56;CDM;1 075,00;G;846,72;G
W302161500;CU;1;1;39,37;MM;39,37;MM;147,32;MM;0,228;CDM;114;G;84,48;G
W302161500;PAL;3 528;1;1 200,00;MM;800;MM;1 194,00;MM;1 038,72;CDM;501 456,00;G;298 045,44;G
W302161500;PC;1;1;39,37;MM;39,37;MM;147,32;MM;0,228;CDM;114;G;84,48;G
W302161500;PLR;504;1;1 190,00;MM;762;MM;150;MM;122,945;CDM;68 208,00;G;42 577,92;G
W302161500;PLU;3 822;1;1 200,00;MM;1 000,00;MM;1 200,00;MM;1 305,60;CDM;542 244,00;G;322 882,56;G
W302161500;PRU;546;1;1 105,00;MM;889;MM;150;MM;134,525;CDM;73 892,00;G;46 126,08;G
W302161500;SU;6;1;127;MM;85;MM;150;MM;1,619;CDM;812;G;506,88;G
W302165000;CU;1;1;18,5;MM;79,5;MM;202,25;MM;0,297;CDM;28,95;G;18,71;G
W302165000;DU;40;1;335;MM;220;MM;180;MM;13,266;CDM;1 634,00;G;748,4;G
W302165000;PAL;3 520;1;1 200,00;MM;800;MM;1 584,00;MM;1 520,64;CDM;167 792,00;G;65 859,20;G
W302165000;PC;1;3;18,5;MM;79,5;MM;202,25;MM;0,297;CDM;28,95;G;18,71;G
W302165000;PLR;440;1;1 100,00;MM;775;MM;180;MM;153,45;CDM;17 974,00;G;8 232,40;G
W302165000;PLU;3 920;1;1 200,00;MM;1 000,00;MM;1 410,00;MM;1 692,00;CDM;185 132,00;G;73 343,20;G
W302165000;PRU;560;1;1 100,00;MM;995;MM;180;MM;197,01;CDM;22 876,00;G;10 477,60;G
W302165000;SU;10;1;206;MM;80;MM;166;MM;2,736;CDM;354;G;187,1;G
W302165900;CU;1;1;38;MM;90;MM;200;MM;0,684;CDM;91;G;64,8;G
W302165900;PAL;1 680;1;1 200,00;MM;800;MM;1 649,00;MM;1 583,04;CDM;225 600,00;G;108 864,00;G
W302165900;PC;1;4;0;;0;;0;;0;CDM;0;G;64,8;G
W302165900;PLR;240;1;1 200,00;MM;800;MM;215;MM;206,4;CDM;28 800,00;G;15 552,00;G
W302165900;PLU;1 800;1;1 200,00;MM;1 000,00;MM;1 440,00;MM;1,728;M3;241 000,00;G;116 640,00;G
W302165900;PRU;300;1;1 200,00;MM;1 000,00;MM;215;MM;0,258;M3;36 000,00;G;19 440,00;G
W302165900;SU;10;1;400;MM;100;MM;215;MM;8,6;CDM;1 200,00;G;648;G
W302166000;CU;1;1;38;MM;90;MM;200;MM;0,684;CDM;91;G;64,08;G
W302166000;PAL;1 680;1;1 200,00;MM;800;MM;1 649,00;MM;1 583,04;CDM;225 600,00;G;107 654,40;G
W302166000;PC;1;4;0;;0;;0;;0;CDM;0;G;64,08;G
W302166000;PLR;240;1;1 200,00;MM;800;MM;215;MM;206,4;CDM;28 800,00;G;15 379,20;G
W302166000;PLU;1 800;1;1 200,00;MM;1 000,00;MM;1 440,00;MM;1 728,00;CDM;241 000,00;G;115 344,00;G
W302166000;PRU;300;1;1 200,00;MM;1 000,00;MM;215;MM;258;CDM;36 000,00;G;19 224,00;G
W302166000;SU;10;1;400;MM;100;MM;215;MM;8,6;CDM;1 200,00;G;640,8;G
W302166100;CU;1;1;38;MM;90;MM;200;MM;0,684;CDM;107;G;70;G
W302166100;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;6 516,00;G;3 500,00;G
W302166100;PAL;1 050;1;1 200,00;MM;800;MM;1 425,00;MM;1 368,00;CDM;160 836,00;G;73 500,00;G
W302166100;PC;1;5;0;;0;;0;;0;CDM;0;G;70;G
W302166100;PLR;350;1;1 095,00;MM;698;MM;427;MM;409,92;CDM;45 612,00;G;24 500,00;G
W302166100;PLU;1 500;1;1 200,00;MM;1 000,00;MM;1 431,00;MM;1,717;M3;220 480,00;G;105 000,00;G
W302166100;PRU;500;1;1 136,00;MM;958;MM;427;MM;0,465;M3;65 160,00;G;35 000,00;G
W302166100;SU;5;1;95;MM;210;MM;206;MM;4,11;CDM;619;G;350;G
W302168400;CU;1;1;50,8;MM;76,2;MM;17,78;MM;0,069;CDM;207;G;207;G
W302168400;PAL;2 304;1;1 200,00;MM;800;MM;1 696,00;MM;1 628,16;CDM;528 960,00;G;476 928,00;G
W302168400;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;207;G
W302168400;PLR;288;1;1 134,00;MM;776;MM;194;MM;170,717;CDM;63 120,00;G;59 616,00;G
W302168400;PLU;2 604;1;1 200,00;MM;1 000,00;MM;1 508,00;MM;1 809,60;CDM;595 710,00;G;539 028,00;G
W302168400;PRU;372;1;1 179,00;MM;972;MM;194;MM;222,322;CDM;81 530,00;G;77 004,00;G
W302168400;SU;6;1;162;MM;113;MM;194;MM;3,551;CDM;1 315,00;G;1 242,00;G
W302168500;CU;1;1;50,8;MM;76,2;MM;17,78;MM;0,069;CDM;207;G;207;G
W302168500;PAL;2 304;1;1 200,00;MM;800;MM;1 696,00;MM;1 628,16;CDM;528 960,00;G;476 928,00;G
W302168500;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;207;G
W302168500;PLR;288;1;1 134,00;MM;776;MM;194;MM;170,717;CDM;63 120,00;G;59 616,00;G
W302168500;PLU;2 604;1;1 200,00;MM;1 000,00;MM;1 508,00;MM;1 809,60;CDM;595 710,00;G;539 028,00;G
W302168500;PRU;372;1;1 179,00;MM;972;MM;194;MM;222,322;CDM;81 530,00;G;77 004,00;G
W302168500;SU;6;1;162;MM;113;MM;194;MM;3,515;CDM;1 315,00;G;1 242,00;G
W302170300;CU;1;1;37;MM;121;MM;218;MM;0,976;CDM;135;G;85;G
W302170300;PAL;1 330;1;1 200,00;MM;800;MM;1 719,00;MM;1 650,24;CDM;221 505,00;G;113 050,00;G
W302170300;PC;1;9;0;;0;;0;;0;;0;G;85;G
W302170300;PLR;190;1;1 175,00;MM;780;MM;225;MM;216;CDM;28 215,00;G;16 150,00;G
W302170300;PLU;1 440;1;1 200,00;MM;1 000,00;MM;1 500,00;MM;1,8;M3;238 840,00;G;122 400,00;G
W302170300;PRU;240;1;1 170,00;MM;980;MM;225;MM;0,258;M3;35 640,00;G;20 400,00;G
W302170300;SU;10;1;245;MM;195;MM;225;MM;10,749;CDM;1 485,00;G;850;G
W302170400;CU;1;1;37;MM;121;MM;218;MM;0,976;CDM;142,5;G;91,8;G
W302170400;PAL;1 330;1;1 200,00;MM;800;MM;1 719,00;MM;1 650,24;CDM;228 155,00;G;122 094,00;G
W302170400;PC;1;9;37;MM;121;MM;218;MM;0,976;CDM;142,5;G;91,8;G
W302170400;PLR;190;1;1 175,00;MM;780;MM;225;MM;216;CDM;29 165,00;G;17 442,00;G
W302170400;PLU;1 440;1;1 200,00;MM;1 000,00;MM;1 500,00;MM;1,8;M3;246 040,00;G;132 192,00;G
W302170400;PRU;240;1;1 170,00;MM;980;MM;225;MM;0,258;M3;36 840,00;G;22 032,00;G
W302170400;SU;10;1;245;MM;195;MM;225;MM;10,749;CDM;1 535,00;G;918;G
W302175000;CU;1;1;37;MM;125;MM;240;MM;1,11;CDM;86,6;G;83,2;G
W302175000;PAL;1 920;1;1 200,00;MM;800;MM;1 672,00;MM;1 605,12;CDM;207 168,00;G;159 744,00;G
W302175000;PC;1;8;0;;0;;0;;0;;0;;83,2;G
W302175000;PLR;240;1;1 200,00;MM;800;MM;191;MM;183,36;CDM;22 896,00;G;19 968,00;G
W302175000;SU;20;1;376;MM;206;MM;191;MM;14,794;CDM;1 908,00;G;1 664,00;G
W302179200;CU;1;1;15,5;MM;96;MM;115;MM;0,166;CDM;24,25;G;16,25;G
W302179200;DU;200;1;504;MM;352;MM;250;MM;44,352;CDM;6 420,00;G;3 250,00;G
W302179200;PAL;5 600;1;1 200,00;MM;800;MM;1 894,00;MM;1 857,60;CDM;203 760,00;G;91 000,00;G
W302179200;PC;1;4;0;;0;;0;;0;CDM;0;;16,25;G
W302179200;PLR;800;1;1 008,00;MM;704;MM;250;MM;244,8;CDM;25 680,00;G;13 000,00;G
W302179200;PLU;5 000;1;1 200,00;MM;1 000,00;MM;1 400,00;MM;1 680,00;CDM;185 500,00;G;81 250,00;G
W302179200;PRU;1 000;1;1 056,00;MM;856;MM;250;MM;300;CDM;32 100,00;G;16 250,00;G
W302179200;SU;10;1;178;MM;102;MM;122;MM;2,047;CDM;296;G;162,5;G
W302179300;CU;1;1;15,5;MM;96;MM;115;MM;0,171;CDM;24,58;G;15,58;G
W302179300;DU;200;1;504;MM;352;MM;250;MM;44,352;CDM;6 290,00;G;3 116,00;G
W302179300;PAL;5 600;1;1 200,00;MM;800;MM;1 894,00;MM;1 818,24;CDM;200 120,00;G;87 248,00;G
W302179300;PC;1;4;0;;0;;0;;0;CDM;0;;15,58;G
W302179300;PLR;800;1;1 008,00;MM;704;MM;250;MM;177,408;CDM;25 160,00;G;12 464,00;G
W302179300;PLU;5 000;1;1 200,00;MM;1 000,00;MM;1 400,00;MM;1 680,00;CDM;187 250,00;G;77 900,00;G
W302179300;PRU;1 000;1;1 056,00;MM;856;MM;250;MM;225,984;CDM;31 450,00;G;15 580,00;G
W302179300;SU;10;1;172;MM;100;MM;119;MM;2,047;CDM;292,8;G;155,8;G
W302179400;CU;1;1;96;MM;15,5;MM;111,5;MM;0,166;CDM;46;G;36,9;G
W302179400;DU;100;1;504;MM;352;MM;132;MM;23,418;CDM;5 585,00;G;3 690,00;G
W302179400;PAL;4 800;1;1 200,00;MM;800;MM;1 728,00;MM;1 681,92;CDM;292 080,00;G;177 120,00;G
W302179400;PC;1;8;0;;0;;0;;0;CDM;0;;36,9;G
W302179400;PLR;400;1;1 008,00;MM;704;MM;132;MM;126,72;CDM;22 340,00;G;14 760,00;G
W302179400;PLU;4 000;1;1 200,00;MM;1 000,00;MM;1 206,00;MM;1 447,20;CDM;248 400,00;G;147 600,00;G
W302179400;PRU;500;1;1 056,00;MM;856;MM;132;MM;158,4;CDM;27 925,00;G;18 450,00;G
W302179400;SU;10;1;178;MM;102;MM;122;MM;2,047;CDM;510;G;369;G
W302179500;CU;1;1;96;MM;15,5;MM;111,5;MM;0,166;CDM;29;G;21,6;G
W302179500;DU;200;1;504;MM;352;MM;250;MM;44,352;CDM;7 300,00;G;4 320,00;G
W302179500;PAL;5 600;1;1 200,00;MM;800;MM;1 894,00;MM;1 824,00;CDM;228 400,00;G;120 960,00;G
W302179500;PC;1;4;0;;0;;0;;0;CDM;0;;21,6;G
W302179500;PLR;800;1;1 008,00;MM;704;MM;250;MM;240;CDM;29 200,00;G;17 280,00;G
W302179500;PLU;5 000;1;1 200,00;MM;1 000,00;MM;1 400,00;MM;1 680,00;CDM;207 500,00;G;108 000,00;G
W302179500;PRU;1 000;1;1 056,00;MM;856;MM;250;MM;300;CDM;36 500,00;G;21 600,00;G
W302179500;SU;10;1;178;MM;102;MM;122;MM;2,047;CDM;340;G;216;G
W302179700;CU;1;1;15,5;MM;96;MM;115;MM;0,166;CDM;41;G;37;G
W302179700;DU;100;1;504;MM;352;MM;132;MM;23,418;CDM;5 104,00;G;3 700,00;G
W302179700;PAL;4 800;1;1 200,00;MM;800;MM;1 728,00;MM;1 681,92;CDM;268 992,00;G;177 600,00;G
W302179700;PC;1;8;0;;0;;0;;0;CDM;0;;37;G
W302179700;PLR;400;1;1 008,00;MM;704;MM;132;MM;126,72;CDM;20 416,00;G;14 800,00;G
W302179700;PLU;4 000;1;1 200,00;MM;1 000,00;MM;1 206,00;MM;1 447,20;CDM;229 160,00;G;148 000,00;G
W302179700;PRU;500;1;1 056,00;MM;856;MM;132;MM;158,4;CDM;25 520,00;G;18 500,00;G
W302179700;SU;10;1;178;MM;102;MM;122;MM;2,047;CDM;460;G;370;G
W302179800;CU;1;1;96;MM;15,5;MM;111,5;MM;0,166;CDM;40;G;31;G
W302179800;DU;100;1;504;MM;352;MM;132;MM;23,418;CDM;6 284,00;G;3 100,00;G
W302179800;PAL;4 800;1;1 200,00;MM;800;MM;1 728,00;MM;1 681,92;CDM;325 632,00;G;148 800,00;G
W302179800;PC;1;8;0;;0;;0;;0;CDM;0;;31;G
W302179800;PLR;400;1;1 008,00;MM;704;MM;132;MM;126,72;CDM;25 136,00;G;12 400,00;G
W302179800;PLU;4 000;1;1 200,00;MM;1 000,00;MM;1 206,00;MM;1 447,20;CDM;276 360,00;G;124 000,00;G
W302179800;PRU;500;1;1 056,00;MM;856;MM;132;MM;158,4;CDM;31 420,00;G;15 500,00;G
W302179800;SU;10;1;178;MM;102;MM;122;MM;2,047;CDM;578;G;310;G
W302180000;CU;1;1;15,5;MM;96;MM;115;MM;0,166;CDM;28;G;21,6;G
W302180000;DU;200;1;504;MM;352;MM;250;MM;43,75;CDM;7 100,00;G;4 320,00;G
W302180000;PAL;5 600;1;1 200,00;MM;800;MM;1 894,00;MM;1 824,00;CDM;222 800,00;G;120 960,00;G
W302180000;PC;1;4;0;;0;;0;;0;CDM;0;;21,6;G
W302180000;PLR;800;1;1 008,00;MM;704;MM;250;MM;240;CDM;28 400,00;G;17 280,00;G
W302180000;PLU;5 000;1;1 200,00;MM;1 000,00;MM;1 400,00;MM;1,68;M3;202 500,00;G;108 000,00;G
W302180000;PRU;1 000;1;1 056,00;MM;856;MM;250;MM;0,226;M3;35 500,00;G;21 600,00;G
W302180000;SU;10;1;178;MM;102;MM;122;MM;2,076;CDM;330;G;216;G
W302180100;CU;1;1;69,85;MM;50,8;MM;114,3;MM;0,406;CDM;82;G;82;G
W302180100;DU;12;1;285;MM;190;MM;190;MM;10,289;CDM;1 297,00;G;984;G
W302180100;PAL;960;1;1 200,00;MM;800;MM;1 094,00;MM;1 050,24;CDM;127 760,00;G;78 720,00;G
W302180100;PC;1;1;0;;0;;0;;0;CDM;0;;82;G
W302180100;PLR;192;1;1 140,00;MM;760;MM;190;MM;164,616;CDM;20 752,00;G;15 744,00;G
W302180100;PLU;1 200;1;1 200,00;MM;1 000,00;MM;1 100,00;MM;1 320,00;CDM;154 700,00;G;98 400,00;G
W302180100;PRU;240;1;1 140,00;MM;950;MM;190;MM;205,77;CDM;25 940,00;G;19 680,00;G
W302180100;SU;3;1;170;MM;125;MM;80;MM;1,7;CDM;246;G;246;G
W302180300;CU;1;1;39,37;MM;39,37;MM;147,32;MM;0,228;CDM;54;G;54;G
W302180300;DU;12;1;275;MM;155;MM;190;MM;8,099;CDM;948;G;648;G
W302180300;PAL;1 680;1;1 200,00;MM;800;MM;1 474,00;MM;1 415,04;CDM;156 720,00;G;90 720,00;G
W302180300;PC;1;1;0;;0;;0;;0;CDM;0;;54;G
W302180300;PLR;240;1;1 100,00;MM;775;MM;190;MM;161,975;CDM;18 960,00;G;12 960,00;G
W302180300;PLU;1 440;1;1 200,00;MM;1 000,00;MM;1 100,00;MM;1 320,00;CDM;138 760,00;G;77 760,00;G
W302180300;PRU;288;1;1 100,00;MM;930;MM;190;MM;194,37;CDM;22 752,00;G;15 552,00;G
W302180300;SU;3;1;130;MM;125;MM;80;MM;1,3;CDM;162;G;162;G
W302180400;CU;1;1;69,85;MM;69,85;MM;44,45;MM;0,217;CDM;150;G;113,39;G
W302180400;PAL;3 360;1;1 200,00;MM;800;MM;1 368,00;MM;1 313,28;CDM;547 320,00;G;380 990,40;G
W302180400;PC;1;1;0;MM;0;MM;0;MM;0;CDM;150;G;113,39;G
W302180400;PLR;420;1;1 071,00;MM;765;MM;153;MM;125,355;CDM;65 415,00;G;47 623,80;G
W302180400;PLU;2 520;1;1 200,00;MM;1 000,00;MM;915;MM;1 098,00;CDM;417 490,00;G;285 742,80;G
W302180400;PRU;504;1;1 071,00;MM;918;MM;153;MM;150,426;CDM;78 498,00;G;57 148,56;G
W302180400;SU;12;1;153;MM;153;MM;153;MM;0,7;CDM;1 869,00;G;1 360,68;G
W302180500;CU;1;1;33,27;MM;33,27;MM;103,12;MM;0,114;CDM;86;G;28,34;G
W302180500;DU;12;1;154;MM;115;MM;110;MM;1,948;CDM;1 089,00;G;340,08;G
W302180500;PAL;5 940;1;1 200,00;MM;800;MM;1 354,00;MM;1 299,84;CDM;563 055,00;G;168 339,60;G
W302180500;PC;1;1;33,27;MM;33,27;MM;103,12;MM;0,114;CDM;0;;28,34;G
W302180500;PLR;540;1;1 150,00;MM;729;MM;110;MM;92,219;CDM;49 005,00;G;15 303,60;G
W302180500;PLU;5 040;1;1 200,00;MM;1 000,00;MM;920;MM;1 104,00;CDM;482 380,00;G;142 833,60;G
W302180500;PRU;720;1;1 150,00;MM;924;MM;110;MM;116,886;CDM;65 340,00;G;20 404,80;G
W302180500;SU;3;1;110;MM;36;MM;106;MM;0,42;CDM;258;G;85,02;G
W302180600;CU;1;1;33,34;MM;33,34;MM;103,9;MM;0,115;CDM;86;G;28,34;G
W302180600;DU;12;1;154;MM;115;MM;110;MM;1,948;CDM;1 089,00;G;340,08;G
W302180600;PAL;5 940;1;1 200,00;MM;800;MM;1 354,00;MM;1 299,84;CDM;563 055,00;G;168 339,60;G
W302180600;PC;1;1;0;;0;;0;;0;CDM;0;;28,34;G
W302180600;PLR;540;1;1 150,00;MM;729;MM;110;MM;92,219;CDM;49 005,00;G;15 303,60;G
W302180600;PLU;5 040;1;1 200,00;MM;1 000,00;MM;920;MM;1 104,00;CDM;482 380,00;G;142 833,60;G
W302180600;PRU;720;1;1 150,00;MM;924;MM;110;MM;116,886;CDM;65 340,00;G;20 404,80;G
W302180600;SU;3;1;110;MM;36;MM;106;MM;0,42;CDM;258;G;85,02;G
W302180700;CU;1;1;51,56;MM;51,56;MM;130,81;MM;0,348;CDM;209;G;170,09;G
W302180700;PAL;2 268;1;1 200,00;MM;800;MM;1 103,00;MM;1 058,88;CDM;520 503,00;G;385 764,12;G
W302180700;PC;1;1;51,56;MM;51,56;MM;130,81;MM;0,348;CDM;209;G;170,09;G
W302180700;PLR;324;1;1 173,00;MM;800;MM;137;MM;128,561;CDM;70 929,00;G;55 109,16;G
W302180700;PLU;2 604;1;1 200,00;MM;1 000,00;MM;1 109,00;MM;1 330,80;CDM;595 059,00;G;442 914,36;G
W302180700;PRU;372;1;1 120,00;MM;959;MM;137;MM;147,149;CDM;81 437,00;G;63 273,48;G
W302180700;SU;12;1;213;MM;160;MM;137;MM;1,137;CDM;2 627,00;G;2 041,08;G
W302180800;CU;1;1;38,1;MM;76,2;MM;203,2;MM;0,59;CDM;549;G;453,59;G
W302180800;PAL;684;1;1 200,00;MM;800;MM;768;MM;737,28;CDM;411 828,00;G;310 255,56;G
W302180800;PC;1;1;38,1;MM;76,2;MM;203,2;MM;0,59;CDM;549;G;453,59;G
W302180800;PLR;228;1;1 148,00;MM;775;MM;208;MM;185,058;CDM;129 276,00;G;103 418,52;G
W302180800;PLU;756;1;1 200,00;MM;1 000,00;MM;774;MM;928,8;CDM;453 652,00;G;342 914,04;G
W302180800;PRU;252;1;1 148,00;MM;849;MM;208;MM;202,728;CDM;142 884,00;G;114 304,68;G
W302180800;SU;12;1;283;MM;164;MM;208;MM;1,959;CDM;6 804,00;G;5 443,08;G
W302180900;CU;1;1;38,1;MM;76,2;MM;203,2;MM;0,59;CDM;549;G;453,59;G
W302180900;PAL;684;1;1 200,00;MM;800;MM;768;MM;737,28;CDM;411 828,00;G;310 255,56;G
W302180900;PC;1;1;38,1;MM;76,2;MM;203,2;MM;0,59;CDM;549;G;453,59;G
W302180900;PLR;228;1;1 148,00;MM;775;MM;208;MM;185,058;CDM;129 276,00;G;103 418,52;G
W302180900;PLU;756;1;1 200,00;MM;1 000,00;MM;774;MM;928,8;CDM;453 652,00;G;342 914,04;G
W302180900;PRU;252;1;1 148,00;MM;849;MM;208;MM;202,728;CDM;142 884,00;G;114 304,68;G
W302180900;SU;12;1;283;MM;164;MM;208;MM;1,985;CDM;6 804,00;G;5 443,08;G
W302181000;CU;1;1;38,1;MM;76,2;MM;203,2;MM;0,59;CDM;549;G;453,59;G
W302181000;PAL;684;1;1 200,00;MM;800;MM;768;MM;737,28;CDM;411 828,00;G;310 255,56;G
W302181000;PC;1;1;38,1;MM;76,2;MM;203,2;MM;0,59;CDM;549;G;453,59;G
W302181000;PLR;228;1;1 148,00;MM;775;MM;208;MM;185,058;CDM;129 276,00;G;103 418,52;G
W302181000;PLU;756;1;1 200,00;MM;1 000,00;MM;774;MM;928,8;CDM;453 652,00;G;342 914,04;G
W302181000;PRU;252;1;1 148,00;MM;849;MM;208;MM;202,728;CDM;142 884,00;G;114 304,68;G
W302181000;SU;12;1;283;MM;164;MM;208;MM;1,985;CDM;6 804,00;G;5 443,08;G
W302181100;CU;1;1;38,1;MM;76,2;MM;203,2;MM;0,59;CDM;549;G;453,59;G
W302181100;PAL;684;1;1 200,00;MM;800;MM;768;MM;737,28;CDM;411 828,00;G;310 255,56;G
W302181100;PC;1;1;38,1;MM;76,2;MM;203,2;MM;0,59;CDM;549;G;453,59;G
W302181100;PLR;228;1;1 148,00;MM;775;MM;208;MM;185,058;CDM;129 276,00;G;103 418,52;G
W302181100;PLU;756;1;1 200,00;MM;1 000,00;MM;774;MM;928,8;CDM;453 652,00;G;342 914,04;G
W302181100;PRU;252;1;1 148,00;MM;849;MM;208;MM;202,728;CDM;142 884,00;G;114 304,68;G
W302181100;SU;12;1;283;MM;164;MM;208;MM;1,985;CDM;6 804,00;G;5 443,08;G
